index,time,x,y,地磁Y,地磁Z,磁偏角,气压,步长,单步转动角,偏航角,俯仰角,滚转角
15,13685.69,149.484,-32.757,24.270160092729,-45.687580922777,-1.08248571555995,989.829834,0.521,0.524,-1.063406,-0.269926,-0.03011
40,13686,149.345633937073,-32.7656246069198,24.664040432418,-44.38352161971,-1.06358542961073,989.733887,0.1386345960234,0.0622512710587572,-1.082092,-0.210873,-0.000968
62,13686.27,149.345633937073,-32.7656246069198,24.804873065941,-43.336536073085,-1.05093490001023,989.708252,0,0.0567535951780013,-1.199146,-0.182739,-0.030915
103,13686.78,149.116649487704,-32.7888812945682,25.339639501591,-43.16831622478,-1.03999328592909,989.700623,0.230162446052926,-0.0177874599427945,-1.217576,-0.140527,-0.035883
152,13687.38,148.859229830241,-32.79223823513,26.477836629209,-44.905533903699,-1.03803363679999,989.693909,0.25744154501255,-0.0881774142445468,-1.096529,-0.167576,0.012507
193,13687.89,148.229255141823,-32.7992736705371,25.668891361114,-47.047072828045,-1.071337372043,989.692139,0.630013972383245,-0.00187264981796724,-1.056086,-0.155805,-0.040116
240,13688.47,147.602077900776,-32.7656087665352,24.9165362508,-46.2783828493,-1.07689839495789,989.697937,0.628080104324839,-0.0647927382874563,-0.899911,-0.145165,-0.044046
293,13689.12,146.976180645095,-32.7705278779118,19.005880372403,-47.279486636304,-1.18857561889855,989.69281,0.625916585756966,0.0614845295697524,-0.936499,-0.108383,-0.080487
326,13689.53,146.312521782131,-32.7624988423537,19.574641874955,-47.229141098638,-1.17788597514427,989.698425,0.663707429371724,-0.0199566798850615,-0.839362,-0.136366,0.011649
371,13690.09,145.663693165466,-32.791549703383,16.913303507162,-46.783608990834,-1.22389402789196,989.700623,0.649478657332299,0.0568419834406909,-0.880491,-0.13066,-0.037659
421,13690.7,145.016852892779,-32.7841357985906,11.780882372159,-45.745459647766,-1.31874214717679,989.687927,0.64688275935702,-0.0562056593731623,-0.806709,-0.048301,0.010351
463,13691.22,144.380837199118,-32.8002013038124,10.217906750553,-45.349005446707,-1.34918007714763,989.67218,0.636218565464521,0.0367154571233771,-0.757813,-0.131035,-0.009586
506,13691.75,143.727559127224,-32.8210274254404,8.030829672288,-45.284302626425,-1.39527871310139,989.670105,0.653609949862268,0.00661438537104696,-1.067086,-0.149621,-0.029719
541,13692.18,143.140126044714,-32.8909656444996,8.751574014574,-44.319226398309,-1.37583775763135,989.690125,0.591581761815258,0.0866309220974762,-1.475411,-0.132235,-0.061632
591,13692.8,142.476055054821,-32.9328310470555,13.590082812816,-39.673470275001,-1.24077528696106,989.694214,0.665389353347666,-0.0555393007963014,-1.820309,-0.118363,-0.071925
632,13693.3,141.831275931442,-33.0241910303517,17.527874041508,-32.507721168251,-1.07628955006858,989.678589,0.651219444191739,0.0777946957122147,-1.875463,-0.123338,-0.108993
674,13693.82,141.172592728864,-33.0778081936213,21.280293954684,-29.527653775511,-0.946318792706258,989.683594,0.660861832424806,-0.0595334814643716,-1.545391,-0.147924,-0.069691
715,13694.33,140.503886424609,-33.1275623148743,20.795057141789,-30.537270321325,-0.972954612537906,989.676208,0.670554691231018,-0.00695475059443337,-1.492858,-0.06498,-0.035533
757,13694.85,139.826864250505,-33.1042396415566,23.327314930229,-31.028277139467,-0.926138938134484,989.674805,0.677423775282817,-0.108701993810721,-1.288381,-0.042303,-0.021283
800,13695.38,139.177751781589,-33.0966899788475,22.786716996211,-33.021579596565,-0.966775865794272,989.676514,0.649156371539325,0.0228050663647001,-1.363892,-0.057287,-0.056668
841,13695.88,138.588260824337,-33.0975211159692,24.019330322763,-31.249218461627,-0.915473346064693,989.673096,0.589491543171761,0.0130401448124711,-1.388495,-0.064454,-0.044982
