index,time,x,y,µØ´ÅY,µØ´ÅZ,´ÅÆ«½Ç,ÆøÑ¹,²½³¤,µ¥²½×ª¶¯½Ç,Æ«º½½Ç,¸©Ñö½Ç,¹ö×ª½Ç,,,,,,,,,,,,,,,,,,,,µØ´ÅY,µØ´ÅZ,´ÅÆ«½Ç,ÆøÑ¹,,,
34,3235.033486,76.459,-33.11,14.53796595,-40.38968017,-1.225291574,996.242798,0.521,0.524,-0.995309,-0.204843,0.044481,,,,,,,,,,,,,,,,,,,,0,0,0,997.692139,0,0,0
91,3235.736505,75.82824216,-33.05789478,14.59944643,-36.77057791,-1.192842956,996.240417,0.632906313,-0.122420187,-0.958292,-0.23288,0.03517,,,,,,,,,,,,,,,,,,,,0,0,0,997.685608,0,0,0
137,3236.303891,75.22697424,-33.06737368,14.89659295,-37.28355497,-1.190679131,996.220764,0.601342632,0.098183731,-1.056482,-0.234067,-0.05496,,,,,,,,,,,,,,,,,,,,0,0,0,997.685608,0,0,0
187,3236.92056,74.5498369,-32.99807298,15.27688029,-36.8130374,-1.177438452,996.238586,0.680674351,-0.117752092,-0.79603,-0.212541,0.078031,,,,,,,,,,,,,,,,,,,,31.75242025,-37.60752251,-0.869614689,997.685608,-1.102119,-0.230262,-0.064122
229,3237.438545,73.94486216,-33.00924534,16.81085803,-37.5021993,-1.149387615,996.221985,0.605077894,0.120453934,-0.788824,-0.187939,0.034408,,,,,,,,,,,,,,,,,,,,31.73717845,-37.62038228,-0.870019857,997.685608,-1.10538,-0.227764,-0.06495
275,3238.005919,73.38081707,-32.97838344,15.86388453,-39.40606665,-1.188072373,996.227966,0.56488877,-0.07312619,-0.782946,-0.230834,0.096057,,,,,,,,,,,,,,,,,,,,31.82048355,-37.71613087,-0.869980669,997.685608,-1.108399,-0.226039,-0.067644
328,3238.659647,72.7275622,-32.94846433,14.62908315,-41.29648044,-1.230344541,996.219055,0.653939653,0.008892727,-1.036183,-0.085952,0.012623,,,,,,,,,,,,,,,,,,,,31.91842464,-37.63328123,-0.867381017,997.685608,-1.110214,-0.226305,-0.070487
373,3239.214631,72.02420978,-32.92619388,14.75506118,-40.61818387,-1.222355604,996.217346,0.703704917,0.014115359,-1.246288,-0.108439,0.011745,,,,,,,,,,,,,,,,,,,,32.11896744,-37.4622656,-0.862039978,997.685608,-1.112646,-0.22774,-0.075874
422,3239.819003,71.35224933,-32.90703726,14.5983838,-38.13554843,-1.205202705,996.225159,0.672233459,0.003151897,-1.450069,-0.074076,-0.000731,,,,,,,,,,,,,,,,,,,,32.13094819,-37.34918584,-0.860361452,997.685608,-1.111947,-0.229011,-0.079666
465,3240.349385,70.71217413,-32.88950014,17.95042726,-34.65136655,-1.092829436,996.227783,0.640315392,0.001109138,-1.472368,-0.086004,-0.028613,,,,,,,,,,,,,,,,,,,,32.32229706,-37.18368346,-0.855226435,997.690735,-1.114042,-0.230556,-0.084763
